"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 17:37:13 GMT 2024","Sat Jun 08 17:37:14 GMT 2024","782","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Sat Jun 08 17:37:17 GMT 2024","Sat Jun 08 17:37:17 GMT 2024","673","tests","test_edit","","","","test_autocomplete",""
"passed","Sat Jun 08 17:37:23 GMT 2024","Sat Jun 08 17:37:24 GMT 2024","688","tests","test_login","","","","test_successful_login",""
"passed","Sat Jun 08 17:37:24 GMT 2024","Sat Jun 08 17:37:25 GMT 2024","688","tests","test_login","","","","test_failed_login",""
"passed","Sat Jun 08 17:37:14 GMT 2024","Sat Jun 08 17:37:14 GMT 2024","313","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Sat Jun 08 17:37:19 GMT 2024","Sat Jun 08 17:37:21 GMT 2024","2511","tests","test_edit","","","","test_edit",""
"passed","Sat Jun 08 17:37:23 GMT 2024","Sat Jun 08 17:37:23 GMT 2024","42","tests","test_home","","","","test_successful_login",""
"passed","Sat Jun 08 17:37:14 GMT 2024","Sat Jun 08 17:37:14 GMT 2024","314","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Sat Jun 08 17:37:14 GMT 2024","Sat Jun 08 17:37:14 GMT 2024","16","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
