"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 15:19:10 GMT 2024","Sat Jun 08 15:19:11 GMT 2024","720","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Sat Jun 08 15:19:17 GMT 2024","Sat Jun 08 15:19:19 GMT 2024","2491","tests","test_edit","","","","test_edit",""
"passed","Sat Jun 08 15:19:22 GMT 2024","Sat Jun 08 15:19:23 GMT 2024","686","tests","test_login","","","","test_failed_login",""
"passed","Sat Jun 08 15:19:11 GMT 2024","Sat Jun 08 15:19:11 GMT 2024","18","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Sat Jun 08 15:19:21 GMT 2024","Sat Jun 08 15:19:22 GMT 2024","680","tests","test_login","","","","test_successful_login",""
"passed","Sat Jun 08 15:19:14 GMT 2024","Sat Jun 08 15:19:14 GMT 2024","679","tests","test_edit","","","","test_autocomplete",""
"passed","Sat Jun 08 15:19:11 GMT 2024","Sat Jun 08 15:19:12 GMT 2024","294","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Sat Jun 08 15:19:21 GMT 2024","Sat Jun 08 15:19:21 GMT 2024","42","tests","test_home","","","","test_successful_login",""
"passed","Sat Jun 08 15:19:11 GMT 2024","Sat Jun 08 15:19:11 GMT 2024","307","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
