"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 17:48:24 GMT 2024","Sat Jun 08 17:48:27 GMT 2024","2764","tests","test_edit","","","","test_edit",""
"passed","Sat Jun 08 17:48:04 GMT 2024","Sat Jun 08 17:48:04 GMT 2024","308","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Sat Jun 08 17:48:28 GMT 2024","Sat Jun 08 17:48:28 GMT 2024","40","tests","test_home","","","","test_successful_login",""
"passed","Sat Jun 08 17:48:04 GMT 2024","Sat Jun 08 17:48:04 GMT 2024","318","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Sat Jun 08 17:48:30 GMT 2024","Sat Jun 08 17:48:31 GMT 2024","683","tests","test_login","","","","test_failed_login",""
"passed","Sat Jun 08 17:48:03 GMT 2024","Sat Jun 08 17:48:04 GMT 2024","745","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Sat Jun 08 17:48:22 GMT 2024","Sat Jun 08 17:48:23 GMT 2024","931","tests","test_edit","","","","test_autocomplete",""
"passed","Sat Jun 08 17:48:29 GMT 2024","Sat Jun 08 17:48:29 GMT 2024","680","tests","test_login","","","","test_successful_login",""
"passed","Sat Jun 08 17:48:04 GMT 2024","Sat Jun 08 17:48:04 GMT 2024","19","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
